,,,,,,,,,,,,
,,,,,,,,,,,,
Personas Certificadas Instituciones Educación para el Trabajo y el Desarrollo Humano,,,,,,,,,,,,
2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
 -   , 12 , 20 , 66 , 49 , 24 , 36 , 61 , 126 , 178 , 46 , 32 ,
 -   , 12 , 20 , 66 , 49 , 24 , 36 , 61 , 126 , 178 , 46 , 32 ,
" 6,300 "," 8,849 "," 9,772 "," 13,792 "," 19,989 "," 28,912 "," 32,680 "," 32,700 "," 42,654 "," 39,720 "," 27,671 "," 23,709 ",
 318 , 583 , 867 ," 1,792 "," 2,254 "," 2,757 "," 2,529 "," 1,714 "," 5,100 "," 3,314 "," 1,333 "," 1,485 ",
 96 , 311 , 607 ," 1,016 "," 1,331 "," 1,464 "," 1,407 "," 1,519 "," 1,412 "," 1,691 ", 940 , 936 ,
 43 , 29 , 241 , 372 , 904 ," 2,219 "," 2,353 "," 2,850 "," 2,920 "," 3,427 "," 1,947 "," 2,662 ",
 340 , 867 , 617 , 388 , 766 , 798 ," 1,354 "," 1,433 "," 1,856 "," 1,901 "," 2,082 "," 1,420 ",
 272 , 238 , 261 , 431 , 813 ," 1,179 ", 964 ," 1,201 "," 1,457 "," 1,727 "," 1,262 "," 1,019 ",
" 5,001 "," 6,429 "," 6,282 "," 8,132 "," 12,055 "," 17,974 "," 21,027 "," 21,402 "," 26,769 "," 24,896 "," 17,853 "," 13,278 ",
 42 , 94 , 689 ," 1,353 "," 1,625 "," 2,007 "," 2,281 "," 1,929 "," 2,271 "," 1,893 "," 1,704 "," 2,449 ",
 38 , 149 , 93 , 95 , 104 , 253 , 93 , 230 , 298 , 295 , 301 , 303 ,
 150 , 149 , 115 , 213 , 137 , 261 , 672 , 422 , 571 , 576 , 249 , 157 ,
 307 , 160 , 272 , 364 , 696 ," 1,091 "," 1,052 "," 1,187 "," 1,411 "," 1,131 ", 699 , 849 ,
 307 , 160 , 272 , 364 , 696 ," 1,091 "," 1,052 "," 1,187 "," 1,411 "," 1,131 ", 699 , 849 ,
 65 , -   , 82 , 118 , 264 , 261 , 232 , 194 , 209 , 253 , 71 , 130 ,
 65 , -   , 82 , 118 , 264 , 261 , 232 , 194 , 209 , 253 , 71 , 130 ,
" 2,765 "," 4,149 "," 4,165 "," 4,817 "," 5,680 "," 9,449 "," 12,220 "," 12,991 "," 14,198 "," 14,658 "," 7,014 "," 4,638 ",
 212 , 115 , 131 , 99 , 210 , 113 , 374 , 331 , 416 , 399 , 143 , 73 ,
" 2,511 "," 4,001 "," 3,965 "," 3,927 "," 5,231 "," 8,543 "," 10,882 "," 10,234 "," 12,302 "," 14,041 "," 6,492 "," 4,410 ",
 -   , -   , -   , -   , -   , -   , -   , 36 , 4 , 3 , 157 , 18 ,
 42 , 33 , 69 , 791 , 239 , 793 , 964 ," 2,390 "," 1,476 ", 215 , 222 , 137 ,
" 3,759 "," 6,296 "," 10,124 "," 12,034 "," 20,137 "," 28,122 "," 38,851 "," 34,638 "," 44,448 "," 39,500 "," 31,040 "," 30,569 ",
" 3,759 "," 6,296 "," 10,124 "," 12,034 "," 20,137 "," 28,122 "," 38,851 "," 34,638 "," 44,448 "," 39,500 "," 31,040 "," 30,569 ",
" 1,866 "," 1,292 "," 1,347 "," 1,777 "," 1,792 "," 1,418 "," 2,170 "," 2,442 "," 2,844 "," 3,417 "," 1,183 ", 992 ,
 523 , 106 , 76 , 31 , 54 , 80 , 34 , 412 , 630 ," 1,066 ", 372 , 507 ,
" 1,275 "," 1,185 "," 1,198 "," 1,674 "," 1,738 "," 1,338 "," 1,988 "," 1,868 "," 1,982 "," 2,059 ", 810 , 485 ,
 68 , 1 , 73 , 72 , -   , -   , 148 , 162 , 232 , 292 , 1 , -   ,
 541 , 828 ," 1,056 "," 1,533 "," 1,385 "," 2,108 "," 1,968 "," 1,900 "," 2,758 "," 1,905 "," 1,020 ", 936 ,
 385 , 424 , 483 , 574 , 599 , 715 , 466 , 565 ," 1,150 ", 645 , 279 , 223 ,
 51 , 131 , 223 , 310 , 283 , 522 , 554 , 348 , 682 , 458 , 142 , 159 ,
 2 , 185 , 196 , 240 , 239 , 420 , 348 , 329 , 249 , 374 , 241 , 210 ,
 103 , 88 , 154 , 409 , 264 , 451 , 600 , 658 , 677 , 428 , 358 , 344 ,
" 1,025 "," 1,193 ", 971 ," 1,748 "," 2,336 "," 2,864 "," 3,589 "," 4,239 "," 4,742 "," 4,117 "," 2,608 "," 1,886 ",
 314 , 346 , 222 , 204 , 517 , 444 , 254 , 509 , 424 , 574 , 279 , 368 ,
 711 , 847 , 749 ," 1,544 "," 1,819 "," 2,420 "," 3,335 "," 3,730 "," 4,318 "," 3,543 "," 2,329 "," 1,518 ",
 345 , 554 , 470 , 527 , 848 , 563 ," 1,111 "," 1,209 "," 1,414 "," 1,441 "," 1,054 ", 907 ,
 -   , 38 , 4 , 8 , 61 , 69 , 77 , 94 , 31 , 77 , 31 , 20 ,
 345 , 516 , 466 , 519 , 787 , 494 ," 1,034 "," 1,115 "," 1,383 "," 1,364 "," 1,023 ", 887 ,
 395 , 554 , 508 , 588 , 829 , 568 , 637 , 796 ," 1,012 ", 973 , 954 , 312 ,
 15 , 74 , 7 , 39 , 34 , 89 , 74 , 58 , 71 , 47 , 67 , 2 ,
 380 , 480 , 501 , 549 , 795 , 479 , 563 , 738 , 941 , 926 , 887 , 310 ,
 643 , 977 ," 1,194 "," 1,763 "," 2,161 "," 2,986 "," 2,991 "," 3,193 "," 3,195 "," 2,762 "," 1,601 "," 1,117 ",
 285 , 311 , 326 , 405 , 736 , 907 , 688 , 887 , 973 , 706 , 734 , 176 ,
 358 , 666 , 868 ," 1,358 "," 1,425 "," 2,079 "," 2,303 "," 2,306 "," 2,222 "," 2,056 ", 867 , 941 ,
 872 ," 1,279 ", 539 ," 1,339 "," 1,928 "," 4,348 "," 4,439 "," 5,852 "," 4,809 "," 4,175 "," 1,251 ", 899 ,
 197 , 279 , 138 , 277 , 390 ," 1,308 "," 1,399 "," 1,772 "," 1,277 "," 1,054 ", 400 , 301 ,
 675 ," 1,000 ", 401 ," 1,062 "," 1,538 "," 3,040 "," 3,040 "," 4,080 "," 3,532 "," 3,121 ", 851 , 598 ,
 -   , 12 , 2 , 13 , 51 , 359 , 328 , 518 , 545 , 562 , 344 , 222 ,
